movementType,data
correct,"[[42.0, 77.0, 0.29329, -9.964667, 1.601721], [24.0, 78.0, 0.766145, -9.81503, 1.889025], [20.0, 77.0, 0.867898, -8.543709, 5.683835], [22.0, 67.0, 0.456095, -8.081628, 6.847417], [43.0, 61.0, 0.379481, -5.914876, 7.65546], [55.0, 45.0, 1.005565, -6.482301, 7.960721], [50.0, 52.0, 0.525527, -4.353856, 8.633492], [54.0, 56.0, 1.774103, -3.337517, 9.455899], [56.0, 68.0, 0.612916, -3.230975, 9.287108], [49.0, 72.0, 0.37589, -2.327164, 11.54843], [77.0, 58.0, 0.40462, -3.007117, 10.1993], [69.0, 58.0, 0.277727, -3.776853, 9.161413], [60.0, 55.0, 1.101333, -4.958392, 7.897275], [68.0, 50.0, 1.103727, -6.200983, 7.723695], [69.0, 46.0, 1.67235, -6.551733, 6.50744], [68.0, 48.0, 1.851915, -7.405266, 5.718551], [55.0, 56.0, 1.519121, -8.825027, 4.376601], [60.0, 52.0, 1.142034, -9.16261, 3.440468], [60.0, 58.0, 0.786495, -9.509769, 2.785654], [61.0, 66.0, 0.610521, -9.617508, 2.492364]]"
wrong,"[[115.0, 88.0, 0.11133, -9.935937, 2.296039], [105.0, 84.0, 0.353145, -9.712079, 2.691083], [112.0, 69.0, -0.509965, -6.987478, 3.863045], [39.0, 57.0, 0.585382, 8.807071, 5.121197], [38.0, 55.0, 0.505177, 8.456321, 5.370194], [61.0, 48.0, 0.797269, 8.446744, 5.066131], [58.0, 56.0, 0.963666, 8.904037, 4.882974], [41.0, 57.0, 0.669179, 8.744822, 4.690241], [42.0, 67.0, 1.018733, 11.22521, 6.360197], [18.0, 61.0, 1.276109, 3.011906, 6.823475], [29.0, 62.0, 1.307234, -4.291606, 6.695385], [55.0, 56.0, 2.003947, -8.887277, 3.699042], [92.0, 60.0, 0.693121, -10.19212, 1.517924], [67.0, 84.0, 0.729034, -9.545682, 2.1883], [38.0, 84.0, 0.216675, -9.708488, 1.976414], [28.0, 89.0, -0.12809, -9.871294, 1.760935], [43.0, 97.0, -0.077812, -9.706094, 2.124854], [46.0, 101.0, -0.076614, -9.67856, 2.136825], [43.0, 98.0, 0.414197, -9.712079, 1.980005], [43.0, 98.0, 0.414197, -9.712079, 1.980005]]"
correct,"[[31.0, 70.0, 0.651223, -9.629479, 1.100136], [28.0, 72.0, 1.067814, -9.380483, 3.587711], [31.0, 57.0, 0.890643, -8.329428, 4.207809], [14.0, 42.0, 0.745794, -8.013393, 5.57849], [26.0, 41.0, 0.951695, -7.508216, 6.445191], [37.0, 45.0, 0.389058, -6.554127, 7.680599], [41.0, 51.0, 0.579397, -5.622783, 8.35337], [54.0, 53.0, 0.61531, -4.440047, 8.674192], [56.0, 57.0, 0.702698, -3.721787, 10.03649], [77.0, 53.0, 0.805649, -4.388572, 10.62547], [86.0, 43.0, 1.071405, -5.026627, 8.825027], [97.0, 39.0, 1.142034, -4.923676, 8.249222], [96.0, 41.0, 1.575385, -6.612785, 8.018182], [100.0, 40.0, 1.531092, -7.120356, 6.938396], [85.0, 49.0, 1.569399, -7.459136, 5.987898], [64.0, 48.0, 1.344344, -8.192958, 5.402516], [85.0, 45.0, 1.11091, -8.655039, 3.739743], [85.0, 42.0, 1.071405, -9.021352, 2.937686], [102.0, 37.0, 0.246603, -9.90601, 1.499967]]"
correct,"[[69.0, 63.0, 0.551864, -9.434352, 2.172738], [41.0, 68.0, 0.365116, -9.326612, 2.40737], [51.0, 57.0, 1.201889, -8.78672, 4.305972], [38.0, 51.0, 1.411382, -8.291121, 5.403713], [54.0, 55.0, 1.010353, -7.930793, 6.203377], [49.0, 65.0, 1.308431, -6.879739, 7.125144], [38.0, 63.0, 1.036689, -6.375759, 7.377733], [32.0, 64.0, 1.115698, -5.580884, 7.923611], [42.0, 64.0, 0.957681, -4.979939, 8.500613], [60.0, 56.0, 1.064223, -4.548983, 9.874885], [78.0, 50.0, 0.970849, -5.226542, 9.764751], [88.0, 45.0, 1.040281, -4.922479, 8.300697], [78.0, 46.0, 1.242591, -5.281609, 6.873753], [68.0, 43.0, 1.435324, -7.107188, 6.281188], [72.0, 43.0, 1.183933, -7.75841, 6.002264], [62.0, 50.0, 0.731429, -7.714118, 4.996699], [51.0, 55.0, 0.901417, -8.438364, 4.327519], [51.0, 56.0, 0.814029, -9.032125, 3.513491], [30.0, 57.0, 0.632069, -9.367314, 3.002329], [21.0, 58.0, 0.3304, -9.574412, 2.291251]]"
correct,"[[51.0, 62.0, 0.275333, -9.643845, 1.569399], [36.0, 67.0, 0.701501, -8.693346, 3.275268], [41.0, 65.0, 1.070208, -8.250419, 4.764462], [32.0, 65.0, 1.334767, -7.107188, 5.831078], [46.0, 63.0, 1.753753, -7.036559, 6.797139], [41.0, 53.0, 1.045069, -6.423643, 7.952341], [40.0, 50.0, 1.343147, -5.835866, 8.813056], [48.0, 51.0, 1.231817, -4.777629, 8.978256], [43.0, 56.0, 1.436521, -4.371812, 8.814254], [36.0, 61.0, 1.606509, -4.078523, 9.962274], [34.0, 62.0, 1.679533, -4.61243, 10.34774], [60.0, 46.0, 1.671153, -4.88896, 9.331401], [52.0, 51.0, 1.951274, -5.823895, 8.910022], [43.0, 51.0, 1.729811, -6.436811, 6.936002], [48.0, 51.0, 1.596933, -7.010222, 6.673837], [40.0, 56.0, 1.527501, -7.597999, 5.99149], [27.0, 54.0, 1.318008, -8.039729, 4.966772], [29.0, 50.0, 1.592144, -8.641871, 4.122815], [42.0, 53.0, 1.113304, -9.296685, 3.324349], [43.0, 52.0, 1.060631, -9.588778, 2.735375]]"
correct,"[[29.0, 60.0, 0.17358, -9.977836, 1.374272], [21.0, 60.0, 0.250194, -9.878476, 1.963245], [15.0, 55.0, 0.065841, -8.204929, 4.390966], [29.0, 57.0, 0.85473, -8.42759, 5.626374], [28.0, 52.0, 0.721852, -7.516596, 6.501455], [36.0, 46.0, 1.298854, -6.584055, 7.557298], [27.0, 40.0, 1.467646, -5.693412, 8.118738], [42.0, 41.0, 1.632846, -4.707001, 9.010578], [48.0, 48.0, 1.468843, -3.909731, 9.022549], [37.0, 60.0, 1.363498, -3.669114, 10.48541], [44.0, 57.0, 1.550246, -4.141969, 10.43513], [56.0, 50.0, 1.01993, -4.376601, 8.561666], [55.0, 53.0, 1.200692, -5.42167, 8.556877], [29.0, 55.0, 1.249773, -6.321889, 7.277176], [31.0, 52.0, 1.513135, -7.064092, 6.254852], [29.0, 51.0, 1.277307, -7.590817, 5.185841], [41.0, 52.0, 1.325191, -8.578424, 4.440047], [41.0, 55.0, 1.09415, -9.203311, 3.39019], [48.0, 57.0, 0.439336, -9.279925, 2.642002], [52.0, 52.0, 0.222661, -9.622296, 1.650802]]"
correct,"[[38.0, 124.0, 0.518345, -9.668983, 2.064999], [49.0, 114.0, 0.472855, -9.907207, 1.824382], [40.0, 108.0, 0.521936, -9.54209, 2.056619], [60.0, 89.0, 1.335965, -7.936779, 5.280412], [46.0, 89.0, 1.286883, -8.048109, 6.062119], [64.0, 80.0, 1.444901, -7.491457, 5.838261], [69.0, 74.0, 1.62686, -6.728904, 7.510611], [69.0, 70.0, 0.837971, -6.275203, 8.074445], [69.0, 75.0, 0.896629, -4.879383, 8.537724], [70.0, 81.0, 1.991976, -4.101267, 9.123106], [67.0, 112.0, 1.364695, -2.827552, 10.35373], [80.0, 86.0, 1.725022, -3.788824, 10.69011], [96.0, 72.0, 2.269703, -4.99191, 7.77517], [93.0, 65.0, 2.543839, -6.391322, 7.410054], [80.0, 64.0, 3.167529, -7.926005, 6.964733], [69.0, 68.0, 3.256114, -8.043321, 6.988675], [75.0, 58.0, 2.395399, -7.714118, 5.657499], [51.0, 65.0, 2.053028, -8.171411, 4.771644], [60.0, 58.0, 1.719037, -8.880095, 4.323928], [55.0, 56.0, 1.200692, -9.179369, 3.082535]]"
correct,"[[62.0, 89.0, 0.535104, -9.653421, 2.236184], [60.0, 90.0, 0.393846, -10.00178, 1.921347], [69.0, 88.0, 1.010353, -8.221688, 4.289212], [62.0, 108.0, 1.713051, -7.677008, 6.228516], [74.0, 74.0, 1.290475, -6.743269, 7.246051], [94.0, 54.0, 1.080982, -5.840655, 7.823054], [103.0, 64.0, 1.098939, -5.263652, 8.291121], [104.0, 57.0, 1.113304, -5.103241, 8.862138], [116.0, 62.0, 1.157596, -4.149151, 9.783905], [102.0, 76.0, 1.358709, -3.799598, 9.349358], [100.0, 74.0, 1.429338, -3.981557, 10.26634], [112.0, 63.0, 2.008735, -4.14556, 8.719683], [116.0, 61.0, 1.486799, -4.866215, 9.157822], [104.0, 62.0, 1.982399, -5.956774, 8.526949], [102.0, 68.0, 1.559822, -7.009026, 7.44477], [96.0, 76.0, 1.679533, -7.697359, 5.823895], [88.0, 81.0, 1.725022, -8.268375, 4.672285], [57.0, 93.0, 1.363498, -8.912416, 3.863045], [67.0, 94.0, 1.013944, -9.230845, 3.190274], [78.0, 86.0, 0.174777, -9.49301, 2.212242]]"
wrong,"[[60.0, 89.0, 0.040701, -9.746795, 1.613692], [56.0, 91.0, -0.05387, -9.773131, 1.549049], [58.0, 90.0, 0.263362, -9.933543, 2.372654], [57.0, 86.0, 0.579397, -8.310274, 4.266468], [45.0, 74.0, 1.187524, -2.149993, 6.499061], [58.0, 51.0, 0.992397, 6.475119, 8.044518], [49.0, 43.0, 0.790087, 10.79067, 6.030994], [42.0, 41.0, 1.570596, 9.205706, 4.752491], [48.0, 38.0, 1.106121, 7.739257, 5.08289], [56.0, 38.0, 1.071405, 8.645462, 5.383362], [56.0, 38.0, 1.086968, 8.895657, 5.439626], [38.0, 61.0, 1.460463, 11.23958, 6.592434], [28.0, 46.0, 1.54426, 3.197456, 7.483078], [29.0, 48.0, 1.477222, -3.738546, 7.206547], [40.0, 42.0, 1.177947, -9.139865, 4.006697], [52.0, 52.0, 0.5782, -10.10712, 1.060631], [50.0, 77.0, 0.164003, -10.22204, 0.545878], [49.0, 76.0, 0.475249, -9.713276, 1.474828], [52.0, 70.0, -0.183156, -9.531317, 2.621651], [82.0, 76.0, -0.113725, -9.646238, 2.421735]]"
wrong,"[[56.0, 89.0, 0.353145, -9.922769, 1.805228], [57.0, 85.0, 0.343568, -10.07839, 1.947683], [37.0, 53.0, 0.986411, -6.669049, 5.653907], [36.0, 31.0, 1.407791, -3.281253, 8.801086], [36.0, 31.0, 1.045069, 2.322376, 10.26993], [24.0, 29.0, 0.592565, 5.823895, 8.360553], [10.0, 27.0, 0.05387, 7.876924, 6.495469], [4.0, 17.0, 0.228646, 8.772355, 5.159505], [8.0, 14.0, 0.737414, 10.07121, 4.394557], [8.0, 17.0, 0.961272, 9.872491, 3.626019], [7.0, 18.0, 0.699107, 8.337808, 4.161122], [9.0, 18.0, 0.831985, 8.350976, 6.110003], [8.0, 19.0, 0.37589, 6.861782, 7.966706], [5.0, 19.0, 0.627281, 3.58412, 8.779537], [27.0, 18.0, 0.897826, -0.938527, 9.615114], [31.0, 19.0, 0.954089, -4.268862, 8.816648], [20.0, 26.0, 1.260547, -6.495469, 7.12275], [14.0, 33.0, 1.833959, -8.258799, 5.66109], [21.0, 33.0, 1.685518, -9.165004, 3.378219], [20.0, 37.0, 0.925359, -9.896433, 1.704672]]"
wrong,"[[42.0, 102.0, 0.5782, -9.825804, 1.29646], [43.0, 96.0, 0.395043, -10.08558, 1.520318], [21.0, 13.0, 0.602142, -9.925163, 1.210269], [9.0, 13.0, 0.571017, -10.34056, 1.447295], [42.0, 9.0, -0.148441, 9.803059, 4.662708], [33.0, 12.0, 0.318429, 8.987833, 3.558981], [29.0, 15.0, -0.106542, 8.90643, 3.739743], [31.0, 18.0, 0.092177, 10.50576, 4.88058], [12.0, 19.0, 0.496797, 8.714894, 5.281609], [14.0, 20.0, 0.226252, 7.740454, 7.255628], [8.0, 21.0, 0.869095, 4.507085, 8.713697], [7.0, 19.0, 1.163582, -0.604536, 9.136273], [27.0, 21.0, 1.501164, -5.30196, 7.496245], [41.0, 22.0, 1.703475, -8.313866, 4.881777], [52.0, 29.0, 0.778116, -9.510966, 2.633622], [56.0, 85.0, 0.199916, -9.762358, 0.582988], [62.0, 85.0, -0.361524, -9.940725, 0.311246], [69.0, 85.0, 0.064643, -9.849746, 0.950498], [66.0, 84.0, 0.262165, -9.792285, 1.182736], [61.0, 88.0, 0.233435, -9.898827, 1.26773]]"
wrong,"[[89.0, 82.0, -0.140061, -9.80665, 1.810017], [89.0, 77.0, 0.092177, -10.00657, 2.281674], [75.0, 77.0, 0.591368, -4.33949, 5.768829], [76.0, 48.0, 2.193089, 5.823895, 8.772355], [69.0, 43.0, 1.260547, 10.80024, 7.31668], [56.0, 48.0, 0.736217, 9.105149, 5.020641], [37.0, 57.0, 1.071405, 7.744045, 5.151125], [49.0, 50.0, 1.061828, 8.497022, 5.295974], [48.0, 52.0, 1.13964, 8.321048, 4.948815], [42.0, 68.0, 1.137246, 8.445546, 5.043386], [32.0, 70.0, 0.90022, 8.483853, 4.999093], [38.0, 75.0, 1.602918, 10.35492, 6.010643], [20.0, 78.0, 1.23062, 7.723695, 7.381324], [24.0, 76.0, 0.828394, 0.667982, 8.263587], [64.0, 69.0, 1.29646, -5.759252, 6.588843], [77.0, 49.0, 1.328782, -9.062054, 3.676297], [66.0, 79.0, 0.043096, -11.11748, 0.770933], [74.0, 78.0, -0.19393, -9.838972, 1.223437], [93.0, 74.0, -0.049081, -9.73243, 1.731008], [113.0, 74.0, -0.077812, -9.673772, 2.329558]]"
correct,"[[43.0, 65.0, 0.37589, -9.713276, 1.877054], [40.0, 67.0, 0.507571, -9.835381, 1.905785], [33.0, 68.0, 0.685939, -8.418014, 3.416526], [38.0, 64.0, 1.189918, -8.816648, 5.098453], [36.0, 57.0, 0.997185, -7.773973, 5.98311], [33.0, 55.0, 1.095347, -6.556521, 7.129933], [31.0, 52.0, 0.950498, -6.30513, 7.593211], [41.0, 49.0, 0.802058, -5.533, 8.410831], [50.0, 53.0, 0.869095, -5.046977, 8.608353], [51.0, 62.0, 1.018733, -4.064157, 9.303867], [45.0, 64.0, 0.727837, -3.392584, 10.43034], [50.0, 62.0, 1.318008, -3.839103, 9.903615], [51.0, 56.0, 1.575385, -4.915296, 8.657434], [56.0, 51.0, 2.229002, -5.850232, 7.167043], [57.0, 51.0, 1.637634, -6.252458, 6.88333], [67.0, 55.0, 1.373075, -7.360973, 5.756858], [64.0, 57.0, 1.450886, -8.098388, 4.808754], [60.0, 61.0, 1.273715, -8.585608, 4.340688], [48.0, 60.0, 1.243788, -8.950723, 3.95163], [43.0, 64.0, 0.968455, -9.270349, 3.513491]]"
correct,"[[75.0, 63.0, 0.275333, -9.727641, 1.649605], [97.0, 67.0, 0.328006, -10.01614, 1.473631], [46.0, 64.0, 0.678756, -9.14585, 4.203021], [51.0, 50.0, -0.004788, -8.566454, 5.18225], [44.0, 37.0, 0.661997, -7.686585, 6.18542], [45.0, 39.0, 0.234632, -6.740875, 7.566875], [48.0, 50.0, 0.395043, -5.984307, 8.15106], [48.0, 57.0, 0.167594, -5.243302, 9.548077], [41.0, 51.0, 0.104148, -3.670311, 9.909601], [52.0, 48.0, 1.440112, -3.701436, 10.91157], [79.0, 39.0, 1.17675, -4.337096, 9.217676], [70.0, 43.0, 1.025915, -5.238513, 7.821857], [50.0, 51.0, 0.910994, -5.932832, 6.815095], [36.0, 50.0, 2.005144, -7.468712, 6.979098], [36.0, 49.0, 1.678335, -8.171411, 5.080496], [36.0, 53.0, 1.150414, -8.874108, 4.011485], [51.0, 56.0, 0.952892, -8.905233, 3.301604], [55.0, 44.0, 0.72664, -9.349358, 2.664747], [54.0, 51.0, 0.521936, -9.589975, 2.024297], [53.0, 57.0, 0.123301, -9.96347, 1.244985]]"
wrong,"[[39.0, 102.0, 0.264559, -9.664195, 2.367866], [44.0, 100.0, 0.350751, -9.737218, 2.268506], [49.0, 100.0, 0.365116, -9.581595, 2.607286], [20.0, 98.0, 1.320402, -5.09127, 5.142745], [26.0, 64.0, 1.419762, 3.150769, 7.332243], [13.0, 70.0, 0.859518, 10.06163, 6.465542], [14.0, 61.0, 1.276109, 10.30824, 5.06254], [3.0, 43.0, 1.486799, 8.4647, 4.189853], [19.0, 38.0, 1.112107, 8.169016, 5.073313], [21.0, 42.0, 0.98282, 8.401254, 4.948815], [15.0, 45.0, 1.115698, 8.779537, 4.736928], [14.0, 45.0, 1.022324, 8.604761, 4.811148], [8.0, 45.0, 0.775721, 12.82215, 6.92882], [8.0, 33.0, 1.182736, 9.120711, 6.769605], [20.0, 22.0, 1.007959, -3.446453, 4.624401], [28.0, 14.0, 1.097741, -10.29028, 1.954866], [65.0, 21.0, 1.000776, -9.704897, 1.687912], [89.0, 29.0, 0.052672, -9.593566, 2.23379], [86.0, 38.0, 0.372298, -9.688137, 1.721431], [76.0, 41.0, 0.489614, -9.791088, 2.024297]]"
wrong,"[[69.0, 90.0, 0.17358, -9.639056, 2.018312], [75.0, 90.0, -0.003591, -9.725247, 2.064999], [68.0, 94.0, -0.143652, -10.05445, 2.11408], [72.0, 79.0, 0.594959, -8.665813, 3.324349], [50.0, 69.0, 1.359907, -2.480393, 7.255628], [41.0, 55.0, 1.109712, 4.776433, 9.114726], [62.0, 46.0, 1.326388, 9.312247, 6.069301], [61.0, 39.0, 0.095768, 9.672575, 5.04578], [45.0, 40.0, 0.793678, 8.735245, 4.586093], [37.0, 41.0, 0.852336, 8.765172, 4.736928], [49.0, 38.0, 0.691924, 8.653842, 4.625598], [50.0, 39.0, 0.684742, 9.124303, 4.876989], [38.0, 45.0, 0.778116, 10.34654, 6.277597], [28.0, 48.0, 1.854309, 5.819107, 7.705738], [33.0, 49.0, 1.261744, -0.508768, 8.645462], [37.0, 72.0, 1.152808, -6.299145, 6.754043], [38.0, 75.0, 0.961272, -8.705318, 3.91452], [29.0, 77.0, -0.263362, -9.90601, 1.170765], [29.0, 86.0, -0.559046, -10.09395, 0.333991], [48.0, 82.0, -0.178368, -9.742006, 1.316811]]"
wrong,"[[63.0, 74.0, 0.60693, -9.737218, 2.138022], [64.0, 66.0, 0.47884, -10.23521, 2.081758], [102.0, 29.0, 0.918176, -3.872621, 5.637148], [38.0, 29.0, 1.295263, 3.739743, 8.383297], [36.0, 24.0, 1.280898, 8.568848, 7.718906], [24.0, 15.0, 0.802058, 9.300277, 5.133168], [15.0, 17.0, 0.653617, 10.22324, 4.825513], [12.0, 17.0, 0.422577, 8.231265, 4.371812], [30.0, 20.0, 0.514753, 8.374918, 4.417302], [21.0, 21.0, 0.221464, 8.704121, 4.847061], [22.0, 22.0, 0.636858, 8.485051, 4.600459], [21.0, 27.0, 0.472855, 8.768764, 4.74052], [20.0, 36.0, 0.453701, 8.702923, 4.611232], [16.0, 38.0, 0.742203, 8.555679, 4.629189], [18.0, 38.0, 0.545878, 9.169792, 4.882974], [18.0, 41.0, 0.828394, 9.78989, 6.076484], [12.0, 41.0, 1.072602, 6.617573, 7.960721], [12.0, 33.0, 1.868674, 0.42138, 8.724471], [26.0, 29.0, 1.012747, -6.744466, 5.774815], [89.0, 33.0, 0.837971, -9.263166, 3.652355]]"
wrong,"[[43.0, 85.0, 0.246603, -9.690532, 2.519897], [51.0, 76.0, 0.415394, -10.23042, 2.431312], [74.0, 48.0, -0.140061, -6.609194, 4.326323], [20.0, 34.0, -0.13647, 3.312378, 7.222109], [24.0, 25.0, 1.297657, 11.28986, 5.791574], [31.0, 24.0, 1.05704, 11.72441, 3.445256], [30.0, 16.0, 1.024718, 8.028955, 3.690662], [36.0, 14.0, 1.244985, 9.41041, 3.981557], [32.0, 17.0, 1.270124, 10.68053, 4.999093], [29.0, 21.0, 1.039083, 9.070433, 6.173449], [42.0, 30.0, 1.568202, 3.654749, 7.835025], [50.0, 37.0, 1.577779, -1.41617, 8.615535], [43.0, 32.0, 2.32477, -6.918046, 5.886145], [56.0, 39.0, -1.11091, -10.43992, 2.85748], [18.0, 77.0, -0.316035, -9.828198, 2.007538], [25.0, 75.0, -0.377087, -9.67018, 1.950077], [24.0, 79.0, -0.507571, -9.38168, 2.515109], [22.0, 81.0, -0.190339, -9.66659, 2.594118], [33.0, 72.0, -0.039504, -9.813833, 2.043451], [46.0, 56.0, 0.301669, -9.629479, 2.048239]]"
correct,"[[31.0, 76.0, 0.93733, -8.863335, 3.204639], [33.0, 58.0, 0.857124, -8.953117, 4.629189], [30.0, 51.0, 1.009156, -8.231265, 5.997475], [27.0, 68.0, 0.770933, -6.780379, 7.457938], [24.0, 88.0, 0.509965, -6.060922, 8.438364], [27.0, 88.0, -0.117316, -5.310339, 8.318654], [27.0, 89.0, 1.653196, -4.52145, 9.415198], [21.0, 93.0, 1.916559, -3.737349, 9.637859], [28.0, 89.0, 0.978031, -4.201824, 10.63504], [31.0, 89.0, 1.254562, -4.997896, 8.692149], [27.0, 89.0, 1.804031, -6.452374, 7.954735], [28.0, 85.0, 1.534683, -7.134721, 6.8546], [27.0, 87.0, 2.043451, -7.491457, 5.977125], [24.0, 68.0, 1.70108, -7.815871, 4.924873], [34.0, 65.0, 1.612495, -7.891289, 4.113238], [37.0, 81.0, 1.05704, -8.995016, 3.4273], [41.0, 79.0, 0.824802, -9.357738, 2.531868], [38.0, 78.0, 0.331597, -9.781511, 1.830367], [32.0, 78.0, 0.146046, -9.97185, 0.869095], [33.0, 80.0, 0.547075, -10.17895, 0.768539]]"
wrong,"[[65.0, 78.0, -0.215478, -9.714474, 2.086547], [62.0, 78.0, -0.005986, -9.979033, 2.047042], [68.0, 76.0, 0.199916, -8.828619, 3.61285], [55.0, 61.0, 1.551443, -3.925294, 6.858191], [44.0, 43.0, 1.128866, 3.053804, 7.848193], [24.0, 45.0, -0.35913, 10.88045, 6.88333], [21.0, 49.0, 0.709881, 11.39281, 5.604826], [41.0, 42.0, 0.33878, 7.44477, 5.102044], [37.0, 48.0, 0.616507, 8.449138, 5.170279], [28.0, 44.0, 0.683545, 8.838196, 5.04578], [22.0, 49.0, 0.672771, 8.668207, 4.91769], [21.0, 51.0, 0.849942, 8.86932, 5.019444], [26.0, 48.0, 0.639252, 9.556456, 5.084087], [22.0, 40.0, 0.654814, 10.33457, 6.853402], [12.0, 28.0, 1.173159, 3.101688, 6.900089], [20.0, 28.0, 1.113304, -3.796007, 6.651093], [40.0, 29.0, 0.324414, -10.27472, 2.870648], [78.0, 36.0, 0.05387, -10.24, 1.435324], [97.0, 41.0, 0.401029, -9.752781, 1.523909], [100.0, 42.0, -0.254982, -9.710882, 1.70946]]"
correct,"[[88.0, 80.0, 0.219069, -9.780314, 1.563414], [67.0, 84.0, 0.434548, -8.500613, 3.003526], [76.0, 77.0, 0.811634, -7.472303, 4.718972], [75.0, 78.0, 0.572214, -7.954735, 5.218163], [78.0, 69.0, 0.778116, -7.606379, 5.979519], [64.0, 69.0, 0.944513, -7.303512, 7.499837], [66.0, 64.0, 1.082179, -5.74369, 7.666234], [74.0, 69.0, 0.503979, -5.209783, 8.064868], [85.0, 77.0, 1.301249, -4.539406, 9.488221], [86.0, 78.0, 1.029507, -3.865439, 10.25077], [96.0, 75.0, 1.121683, -4.781221, 10.51653], [106.0, 67.0, 1.922544, -5.331887, 8.384495], [81.0, 66.0, 2.110489, -5.776011, 7.759608], [65.0, 53.0, 1.697489, -6.269217, 7.175423], [69.0, 64.0, 2.434903, -7.471107, 6.332664], [73.0, 69.0, 2.127248, -7.961918, 5.753267], [65.0, 69.0, 1.968034, -8.161834, 4.910508], [65.0, 74.0, 1.521515, -8.665813, 4.49272], [74.0, 74.0, 1.236605, -9.123106, 3.244143], [80.0, 70.0, 0.858321, -9.39365, 2.507926]]"
wrong,"[[50.0, 61.0, 0.104148, -9.727641, 2.030283], [58.0, 56.0, 0.192733, -9.676167, 1.981202], [62.0, 57.0, -0.329203, -10.12867, 2.132037], [62.0, 50.0, 0.19393, -10.1981, 2.190695], [66.0, 34.0, 0.409408, -1.422156, 5.310339], [41.0, 27.0, 3.064578, 3.518279, 7.096414], [41.0, 18.0, 0.871489, 10.78109, 6.161478], [28.0, 18.0, 0.951695, 10.74877, 4.663905], [27.0, 17.0, 0.949301, 9.40203, 4.322731], [22.0, 18.0, 1.090559, 8.990228, 4.382586], [15.0, 19.0, 1.550246, 8.401254, 5.8634], [25.0, 14.0, 1.958457, 6.579266, 7.586028], [24.0, 21.0, 2.148796, 1.689109, 8.698134], [31.0, 22.0, 1.693898, -3.169923, 8.159439], [41.0, 24.0, 1.179144, -8.799889, 4.121618], [62.0, 33.0, 0.219069, -9.879673, 3.101688], [80.0, 43.0, -0.013168, -9.877279, 2.013524], [86.0, 46.0, -0.51595, -9.591172, 2.087744], [86.0, 44.0, 0.679953, -9.585187, 2.045845], [97.0, 46.0, 0.341174, -9.816227, 2.141613]]"
wrong,"[[62.0, 81.0, 0.061052, -9.753978, 2.067393], [62.0, 80.0, 0.241814, -9.564836, 2.117671], [57.0, 81.0, 0.240617, -9.774328, 2.214637], [62.0, 79.0, 0.31364, -9.809045, 2.397793], [60.0, 60.0, 1.355118, -6.113594, 4.841076], [21.0, 48.0, 0.486023, 0.5782, 9.721656], [24.0, 32.0, 1.58137, 6.895301, 8.4647], [20.0, 19.0, 1.479617, 9.405622, 6.129156], [26.0, 27.0, 1.732205, 8.698134, 4.577714], [20.0, 27.0, 0.70629, 8.962694, 5.131971], [22.0, 29.0, 1.091756, 8.118738, 4.984728], [24.0, 31.0, 1.18513, 8.619126, 5.038598], [19.0, 33.0, 1.146823, 8.595184, 5.085284], [20.0, 34.0, 1.083376, 8.531737, 4.866215], [24.0, 29.0, 1.476025, 11.62744, 6.108806], [7.0, 24.0, 1.486799, 7.363368, 7.264008], [10.0, 26.0, 1.956063, -1.273715, 7.615956], [37.0, 25.0, 1.53588, -6.409278, 5.877765], [57.0, 25.0, 0.845153, -9.48463, 2.97719], [80.0, 39.0, 0.554258, -9.848549, 1.553837]]"
correct,"[[55.0, 65.0, 0.270545, -9.935937, 1.599327], [53.0, 65.0, 0.415394, -9.460688, 1.916559], [38.0, 68.0, 0.731429, -8.676587, 3.866636], [28.0, 61.0, 0.580594, -7.852982, 4.396951], [30.0, 65.0, 1.078588, -6.737284, 6.125565], [30.0, 58.0, 2.082955, -6.936002, 7.81228], [39.0, 49.0, 1.897405, -6.285976, 7.849391], [37.0, 50.0, 1.450886, -4.914099, 8.185776], [29.0, 53.0, 1.414973, -4.51307, 8.991425], [32.0, 63.0, 1.471237, -3.259706, 9.02614], [28.0, 70.0, 1.462857, -2.719813, 9.5385], [22.0, 74.0, 1.013944, -2.457648, 10.0317], [42.0, 62.0, 1.727417, -3.240552, 9.622296], [50.0, 63.0, 1.770512, -3.889381, 9.344569], [55.0, 57.0, 2.099715, -5.342661, 7.235278], [56.0, 62.0, 2.36188, -5.869385, 7.419631], [60.0, 62.0, 1.794454, -6.936002, 6.698977], [52.0, 61.0, 2.310405, -7.56448, 6.041768], [50.0, 67.0, 1.750161, -8.091205, 5.299565], [50.0, 67.0, 1.736993, -8.438364, 4.580108]]"
